vnu_id,subject_code,score,semester_id
2022001,FLF2104,9,20211
2022002,FLF2104,9,20211
2022003,FLF2104,9,20211
2022004,FLF2104,9,20211
2022005,FLF2104,9,20211
2022006,FLF2104,2,20211
2022007,FLF2104,4,20211
2022008,FLF2104,8,20211
2022009,FLF2104,9,20211
2022010,FLF2104,9,20211
2022011,FLF2104,8,20211
2022012,FLF2104,6,20211
2022013,FLF2104,5,20202
2022014,FLF2104,7,20202
2022015,FLF2104,4,20202
2022016,FLF2104,8,20202
2022017,FLF2104,9,20202
2022018,FLF2104,9,20202
2022019,FLF2104,0,20202
2022020,FLF2104,9,20202
2022021,FLF2104,3,20202
2022022,FLF2104,9,20202
2022023,FLF2104,9,20202
2022024,FLF2104,9,20202
2022025,FLF2104,9,20202
2022026,FLF2104,3,20202
2022027,FLF2104,9,20211
2022028,FLF2104,8,20211
2022029,FLF2104,6,20211
2022030,FLF2104,5,20211
2022031,FLF2104,7,20211
2022032,FLF2104,5,20211
2022033,FLF2104,5,20211
2022034,FLF2104,8,20211
2022035,FLF2104,8,20211
2022036,FLF2104,7,20211
2022037,FLF2104,8,20211
2022038,FLF2104,9,20211
2022039,FLF2104,8,20211
2022040,FLF2104,6,20211
2022041,FLF2104,7,20211
2022042,FLF2104,8,20211
2022043,FLF2104,7,20202
2022044,FLF2104,8,20202
2022045,FLF2104,9,20202
2022046,FLF2104,8,20202
2022047,FLF2104,6,20202
2022048,FLF2104,9,20202
