vnu_id,subject_code,score,semester_id
2022001,INT1001,7,20201
2022002,INT1001,9,20201
2022003,INT1001,3,20201
2022004,INT1001,8,20201
2022005,INT1001,0,20201
2022006,INT1001,2,20201
2022007,INT1001,4,20201
2022008,INT1001,8,20201
2022009,INT1001,3,20201
2022010,INT1001,9,20201
2022011,INT1001,0,20201
2022012,INT1001,5,20201
2022013,INT1001,2,20201
2022014,INT1001,2,20201
2022015,INT1001,7,20201
2022016,INT1001,3,20201
2022017,INT1001,7,20202
2022018,INT1001,9,20202
2022019,INT1001,0,20202
2022020,INT1001,2,20202
2022021,INT1001,3,20202
2022022,INT1001,9,20202
2022023,INT1001,9,20202
2022024,INT1001,7,20202
2022025,INT1001,0,20202
2022026,INT1001,3,20202
2022027,INT1001,9,20202
2022028,INT1001,8,20202
2022029,INT1001,6,20202
2022030,INT1001,5,20202
2022031,INT1001,7,20202
2022032,INT1001,6,20202
2022033,INT1001,2,20202
2022034,INT1001,7,20202
2022035,INT1001,0,20202
2022036,INT1001,3,20202
2022037,INT1001,9,20202
2022038,INT1001,9,20202
2022039,INT1001,9,20202
2022040,INT1001,1,20202
2022041,INT1001,7,20202
2022042,INT1001,2,20202
2022043,INT1001,3,20202
2022044,INT1001,6,20202
2022045,INT1001,5,20202
2022046,INT1001,5,20202
2022047,INT1001,8,20202
2022048,INT1001,1,20202
2022049,INT1001,4,20202
2022050,INT1001,7,20202
2022051,INT1001,1,20202
2022052,INT1001,3,20202
2022053,INT1001,8,20202
2022054,INT1001,4,20202
2022055,INT1001,8,20202
2022056,INT1001,0,20202
2022057,INT1001,4,20202
2022058,INT1001,6,20202
2022059,INT1001,0,20202
2022060,INT1001,3,20202
2022061,INT1001,9,20202
