vnu_id,subject_code,score,semester_id
2022001,MAT1093,9,20201
2022002,MAT1093,9,20201
2022003,MAT1093,8,20201
2022004,MAT1093,9,20201
2022005,MAT1093,4,20201
2022006,MAT1093,6,20201
2022007,MAT1093,9,20201
2022008,MAT1093,1,20201
2022009,MAT1093,1,20201
2022010,MAT1093,1,20201
2022011,MAT1093,9,20201
2022012,MAT1093,9,20201
2022013,MAT1093,9,20201
2022014,MAT1093,9,20201
2022015,MAT1093,8,20201
2022016,MAT1093,9,20201
2022017,MAT1093,9,20202
2022018,MAT1093,7,20202
2022019,MAT1093,3,20202
2022020,MAT1093,9,20202
2022021,MAT1093,9,20202
2022022,MAT1093,9,20202
2022023,MAT1093,7,20202
2022024,MAT1093,9,20202
2022025,MAT1093,8,20202
2022026,MAT1093,9,20202
2022027,MAT1093,3,20202
2022028,MAT1093,9,20202
2022029,MAT1093,9,20202
2022030,MAT1093,9,20202
2022031,MAT1093,1,20202
2022032,MAT1093,7,20202
2022033,MAT1093,7,20202
2022034,MAT1093,1,20202
2022035,MAT1093,9,20202
2022036,MAT1093,9,20202
2022037,MAT1093,1,20202
2022038,MAT1093,8,20202
2022039,MAT1093,9,20202
2022040,MAT1093,4,20202
2022041,MAT1093,6,20202
2022042,MAT1093,9,20202
2022043,MAT1093,7,20202
2022044,MAT1093,9,20202
2022045,MAT1093,9,20202
2022046,MAT1093,9,20202
2022047,MAT1093,9,20202
2022048,MAT1093,9,20202
2022049,MAT1093,9,20202
2022050,MAT1093,9,20202
2022051,MAT1093,9,20202
2022052,MAT1093,3,20202
2022053,MAT1093,8,20202
2022054,MAT1093,9,20202
2022055,MAT1093,9,20202
2022056,MAT1093,9,20202
2022057,MAT1093,9,20202
2022058,MAT1093,9,20202
2022059,MAT1093,9,20202
2022060,MAT1093,3,20202
2022061,MAT1093,9,20202
